area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;021803;029;01;1;2;2;1;2;2;2;2;2;010150021803;01015002180302901;010150021803029011;2712;90,7824374397527;202201
1;10150;021803;029;02;1;2;2;1;2;3;3;3;3;010150021803;01015002180302902;010150021803029021;2712;90,7824374397527;202201
1;10150;021803;029;03;1;2;2;1;2;3;3;3;3;010150021803;01015002180302903;010150021803029031;2712;90,7824374397527;202201
1;10150;021803;029;05;1;2;2;2;2;2;2;2;2;010150021803;01015002180302905;010150021803029051;2712;90,7824374397527;202201
1;10150;021803;029;07;1;3;2;1;2;3;3;3;3;010150021803;01015002180302907;010150021803029071;2712;90,7824374397527;202201
1;10150;021803;029;08;1;2;2;2;2;2;2;3;3;010150021803;01015002180302908;010150021803029081;2712;90,7824374397527;202201
1;10150;021803;029;09;1;3;2;2;3;3;2;3;2;010150021803;01015002180302909;010150021803029091;2712;90,7824374397527;202201
1;10150;022602;029;02;1;2;2;1;2;3;2;3;2;010150022602;01015002260202902;010150022602029021;2713;95,2319709404509;202201
1;10150;022602;029;05;1;2;2;1;2;3;2;2;2;010150022602;01015002260202905;010150022602029051;2713;95,2319709404509;202201
1;10150;022602;029;07;1;3;2;3;2;3;2;3;2;010150022602;01015002260202907;010150022602029071;2713;95,2319709404509;202201
1;10150;022602;029;08;1;2;2;2;2;2;2;2;2;010150022602;01015002260202908;010150022602029081;2713;95,2319709404509;202201
1;10150;022602;029;10;1;2;2;1;2;2;2;3;2;010150022602;01015002260202910;010150022602029101;2713;95,2319709404509;202201
1;10150;023404;029;01;1;2;2;2;2;3;2;3;3;010150023404;01015002340402901;010150023404029011;2712;471,223853251661;202201
1;10150;023404;029;02;1;3;2;1;1;3;3;3;3;010150023404;01015002340402902;010150023404029021;2712;471,223853251661;202201
1;10150;023404;029;03;1;2;2;2;2;3;2;3;3;010150023404;01015002340402903;010150023404029031;2712;471,223853251661;202201
1;10150;023404;029;05;1;3;3;2;2;2;3;3;3;010150023404;01015002340402905;010150023404029051;2712;471,223853251661;202201
1;10150;023404;029;06;1;2;2;2;2;3;2;3;3;010150023404;01015002340402906;010150023404029061;2712;471,223853251661;202201
